# GitHub repos – ShloimyLevy (by last pushed, newest first)
# Format: DATE | VISIBILITY | REPO_NAME | URL

2026-02-09T16:03:50Z | PRIVATE | Masa-api | https://github.com/ShloimyLevy/Masa-api
2026-02-09T16:03:49Z | PRIVATE | Template | https://github.com/ShloimyLevy/Template
2026-02-09T16:03:48Z | PRIVATE | store-asistent | https://github.com/ShloimyLevy/store-asistent
2026-02-09T16:03:45Z | PRIVATE | frontend | https://github.com/ShloimyLevy/frontend
2026-02-09T16:03:41Z | PRIVATE | upright-crm | https://github.com/ShloimyLevy/upright-crm
2026-02-09T01:51:43Z | PRIVATE | judaic-coins | https://github.com/ShloimyLevy/judaic-coins
2026-02-08T18:19:56Z | PRIVATE | trading-system | https://github.com/ShloimyLevy/trading-system
2026-02-05T21:01:51Z | PRIVATE | Air-Business-Solutions | https://github.com/ShloimyLevy/Air-Business-Solutions
2026-02-05T16:49:05Z | PRIVATE | air-pfa-sync | https://github.com/ShloimyLevy/air-pfa-sync
2026-02-03T18:25:21Z | PRIVATE | lumera-e-commerce-template | https://github.com/ShloimyLevy/lumera-e-commerce-template
2026-02-01T01:54:43Z | PUBLIC | mac-filter | https://github.com/ShloimyLevy/mac-filter
2026-01-27T03:35:15Z | PRIVATE | bot | https://github.com/ShloimyLevy/bot
2026-01-26T20:55:09Z | PRIVATE | bot-ui | https://github.com/ShloimyLevy/bot-ui
2026-01-26T17:30:29Z | PRIVATE | toys4u-scripts | https://github.com/ShloimyLevy/toys4u-scripts
2026-01-25T17:53:08Z | PRIVATE | modern-app-foundation | https://github.com/ShloimyLevy/modern-app-foundation
2026-01-25T05:53:47Z | PRIVATE | v0-i-os-on-the-web | https://github.com/ShloimyLevy/v0-i-os-on-the-web
2026-01-25T02:50:56Z | PRIVATE | ios | https://github.com/ShloimyLevy/ios
2026-01-22T16:54:52Z | PRIVATE | toys4u | https://github.com/ShloimyLevy/toys4u
2026-01-22T03:35:15Z | PRIVATE | ledger-love | https://github.com/ShloimyLevy/ledger-love
2026-01-22T02:33:20Z | PRIVATE | v0-ecommerce-analytics-dashboard | https://github.com/ShloimyLevy/v0-ecommerce-analytics-dashboard
2026-01-15T16:13:54Z | PRIVATE | Garfield | https://github.com/ShloimyLevy/Garfield
2026-01-12T18:46:54Z | PRIVATE | Masa-v0 | https://github.com/ShloimyLevy/Masa-v0
2026-01-11T17:07:39Z | PRIVATE | template-ready-home | https://github.com/ShloimyLevy/template-ready-home
2026-01-11T16:49:17Z | PRIVATE | stamp-my-paper-ui | https://github.com/ShloimyLevy/stamp-my-paper-ui
2026-01-09T19:21:43Z | PRIVATE | v0-debt-settlement-crm | https://github.com/ShloimyLevy/v0-debt-settlement-crm
2026-01-08T19:49:36Z | PRIVATE | v0-anchor-voice-saa-s-app | https://github.com/ShloimyLevy/v0-anchor-voice-saa-s-app
2026-01-07T18:51:47Z | PRIVATE | v0-masa | https://github.com/ShloimyLevy/v0-masa
2026-01-06T22:18:58Z | PRIVATE | ai-sms | https://github.com/ShloimyLevy/ai-sms
2026-01-05T16:58:02Z | PRIVATE | v0-admin-dashboard | https://github.com/ShloimyLevy/v0-admin-dashboard
2026-01-04T02:03:47Z | PRIVATE | Masa-hr | https://github.com/ShloimyLevy/Masa-hr
2026-01-01T02:13:31Z | PRIVATE | api | https://github.com/ShloimyLevy/api
2026-01-01T02:12:58Z | PRIVATE | ChatFrontend | https://github.com/ShloimyLevy/ChatFrontend
2025-12-30T17:04:26Z | PRIVATE | store-chat-v0 | https://github.com/ShloimyLevy/store-chat-v0
2025-12-25T19:29:45Z | PRIVATE | sightline-app | https://github.com/ShloimyLevy/sightline-app
2025-12-25T16:57:15Z | PRIVATE | tenant-portel | https://github.com/ShloimyLevy/tenant-portel
2025-12-16T18:58:46Z | PRIVATE | v-grid-template | https://github.com/ShloimyLevy/v-grid-template
2025-12-14T01:19:19Z | PRIVATE | debit-portel | https://github.com/ShloimyLevy/debit-portel
2025-12-11T16:34:27Z | PRIVATE | Modern-UI-Components | https://github.com/ShloimyLevy/Modern-UI-Components
2025-12-08T20:19:39Z | PRIVATE | stamp-my-paper-api | https://github.com/ShloimyLevy/stamp-my-paper-api
2025-12-04T17:59:05Z | PRIVATE | lest-build-awesome | https://github.com/ShloimyLevy/lest-build-awesome
2025-12-04T16:49:23Z | PRIVATE | fideliscare | https://github.com/ShloimyLevy/fideliscare
2025-12-03T19:45:42Z | PRIVATE | bash-only-deployment | https://github.com/ShloimyLevy/bash-only-deployment
2025-12-03T17:39:54Z | PRIVATE | lev-rise | https://github.com/ShloimyLevy/lev-rise
2025-12-02T22:54:22Z | PRIVATE | doc-review-build | https://github.com/ShloimyLevy/doc-review-build
2025-12-01T16:42:41Z | PRIVATE | v0-sales-crm-design | https://github.com/ShloimyLevy/v0-sales-crm-design
2025-12-01T00:24:58Z | PUBLIC | skills-introduction-to-github | https://github.com/ShloimyLevy/skills-introduction-to-github
2025-11-26T18:40:44Z | PRIVATE | change-my-price-ui | https://github.com/ShloimyLevy/change-my-price-ui
2025-11-19T16:06:43Z | PRIVATE | v0-documentation-starter | https://github.com/ShloimyLevy/v0-documentation-starter
2025-11-16T19:58:07Z | PRIVATE | real-pro-muse | https://github.com/ShloimyLevy/real-pro-muse
2025-11-16T03:07:40Z | PRIVATE | v0-change-my-price-system | https://github.com/ShloimyLevy/v0-change-my-price-system
2025-11-10T22:11:18Z | PRIVATE | pfa-platform-frontend | https://github.com/ShloimyLevy/pfa-platform-frontend
2025-10-29T16:39:14Z | PRIVATE | RFQ_AGENT_MVP-testing | https://github.com/ShloimyLevy/RFQ_AGENT_MVP-testing
2025-08-27T17:47:09Z | PRIVATE | admin-ui-library | https://github.com/ShloimyLevy/admin-ui-library
2025-08-21T15:48:26Z | PRIVATE | school-pledges-frontend | https://github.com/ShloimyLevy/school-pledges-frontend
2025-08-21T14:41:41Z | PRIVATE | ApplesMarketScraperLib | https://github.com/ShloimyLevy/ApplesMarketScraperLib
2025-08-21T14:38:23Z | PRIVATE | Anchor | https://github.com/ShloimyLevy/Anchor
2025-08-14T22:44:27Z | PRIVATE | admin | https://github.com/ShloimyLevy/admin
2025-08-14T16:45:31Z | PRIVATE | management-backend | https://github.com/ShloimyLevy/management-backend
2025-08-13T14:20:11Z | PRIVATE | brandshop-frontend | https://github.com/ShloimyLevy/brandshop-frontend
2025-08-13T02:23:35Z | PRIVATE | BrandShop-Backend | https://github.com/ShloimyLevy/BrandShop-Backend
2025-08-07T09:39:23Z | PRIVATE | OneUpMortgagePortal | https://github.com/ShloimyLevy/OneUpMortgagePortal
2025-08-07T09:37:51Z | PRIVATE | MortgagePortalWLoginOld | https://github.com/ShloimyLevy/MortgagePortalWLoginOld
2025-08-01T15:32:53Z | PRIVATE | avnei-shlomo-site | https://github.com/ShloimyLevy/avnei-shlomo-site
2025-07-30T22:08:39Z | PRIVATE | tenant-portal | https://github.com/ShloimyLevy/tenant-portal
2025-06-30T16:43:33Z | PRIVATE | one-up-hero2 | https://github.com/ShloimyLevy/one-up-hero2
2025-06-30T01:22:34Z | PRIVATE | nextjs | https://github.com/ShloimyLevy/nextjs
2025-06-29T07:07:42Z | PRIVATE | loan-pricing-ui | https://github.com/ShloimyLevy/loan-pricing-ui
2025-06-12T19:55:29Z | PRIVATE | OnyxBplPricer | https://github.com/ShloimyLevy/OnyxBplPricer
2025-05-23T02:20:51Z | PRIVATE | ShopDelightScraper | https://github.com/ShloimyLevy/ShopDelightScraper
2025-03-31T16:40:37Z | PRIVATE | OneUpCapWebsiteFirstApp | https://github.com/ShloimyLevy/OneUpCapWebsiteFirstApp
2025-03-30T02:56:41Z | PRIVATE | TPOGoRateCalculaterApp | https://github.com/ShloimyLevy/TPOGoRateCalculaterApp
2025-02-11T18:37:28Z | PRIVATE | LoanRateCalculator | https://github.com/ShloimyLevy/LoanRateCalculator
